material	PMMA
rho	1.190E+00
keV	ra/rho	cs/rho	pe/rho
40	2.268E-02	1.788E-01	3.360E-02	
50	1.523E-02	1.761E-01	1.606E-02	
60	1.092E-02	1.727E-01	8.773E-03	
70	8.204E-03	1.690E-01	5.261E-03	
80	6.381E-03	1.654E-01	3.378E-03	
90	5.100E-03	1.618E-01	2.286E-03	
100	4.167E-03	1.583E-01	1.613E-03	
110	3.467E-03	1.550E-01	1.177E-03	
120	2.929E-03	1.519E-01	8.838E-04	
130	2.506E-03	1.489E-01	6.794E-04	
140	2.169E-03	1.460E-01	5.329E-04	
150	1.894E-03	1.433E-01	4.253E-04	
160	1.669E-03	1.407E-01	3.447E-04	
170	1.481E-03	1.383E-01	2.831E-04	
180	1.323E-03	1.359E-01	2.353E-04	
190	1.189E-03	1.337E-01	1.977E-04	
200	1.075E-03	1.316E-01	1.677E-04	
